char,dialog,movie
"
ARAGORN:","
  Let the Lord of the Black Land come forth! ,  Let justice be done upon him! ,
     ",The Return of the King Movie Script
"
MOUTH OF SAURON:","
  My master Sauron the Great bids thee welcome. ,
     ",The Return of the King Movie Script
"
MOUTH OF SAURON: ","
 Is there any in this rout with authority to treat with me?,
     ",The Return of the King Movie Script
"
GANDALF:","
  We do not come to treat with Sauron, faithless and accursed.    Tell your master this.  The armies of Mordor must disband.  He is to depart these lands, never to return. ,
     ",The Return of the King Movie Script
EOWYN:,"
    Courage Merry. Courage for our friends. ,
 ",The Return of the King Movie Script
GOTHMOG:,"
    Form ranks you maggots. Form ranks. Pikes in front, archers behind.
    ,
 ",The Return of the King Movie Script
THEODEN:,"
    Eomer, take your Eored down the left flank,
 ",The Return of the King Movie Script
EOMER:,"
    Flank ready!,
 ",The Return of the King Movie Script
THEODEN:,"
    Gamling, follow the King�s banner down the centre. Grimbold! Take your 
company right after you pass the wall. Forth and fear no darkness! 
    , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall 
be splintered, a sword day, a red day ere the sun rises!!,
 ",The Return of the King Movie Script
EOWYN:,"
    Whatever happens, stay with me. I�ll look after you. ,
 ",The Return of the King Movie Script
THEODEN:,"
    Ride now, ride now! Ride! Ride for ruin and the world�s ending! DEATH!,
 ",The Return of the King Movie Script
ARMY:,"
    DEATH! ,
 ",The Return of the King Movie Script
THEODEN: ,"
    DEATH! ,
 ",The Return of the King Movie Script
ARMY:,"
    DEATH! ,
 ",The Return of the King Movie Script
THEODEN:,"
    DEATH! ,
 ",The Return of the King Movie Script
THEODEN:,"
    DEATH! ,
 ",The Return of the King Movie Script
"
MOUTH OF SAURON:","
  Aha!  Old Greybeard!  I have a token I was bidden to show thee. ,
     ",The Return of the King Movie Script
"
PIPPIN:","
  Frodo!,
     ",The Return of the King Movie Script
"
PIPPIN: ","
  Frodo!,
     ",The Return of the King Movie Script
"
GANDALF: ","
  Silence!,
     ",The Return of the King Movie Script
"
MERRY:","
  No! ,
     ",The Return of the King Movie Script
"
GANDALF:","
  Silence!,
     ",The Return of the King Movie Script
"
MOUTH OF SAURON:","
  The Halfling was dear to thee I see.  Know that he suffered greatly at the hands of his host.  Who would�ve thought one so small could endure so much pain?  And he did Gandalf, he did. ,
     ",The Return of the King Movie Script
ARAGORN:,"
    You may go no further. ,
 ",The Return of the King Movie Script
ARAGORN: ,"You will not enter Gondor,
 ",The Return of the King Movie Script
BOSON:,"Who are you to deny us passage? ,
 ",The Return of the King Movie Script
ARAGORN:,"Legolas, fire a warning shot past the boson�s ear. ,
 ",The Return of the King Movie Script
GIMLI:,"Mind your aim.,
 ",The Return of the King Movie Script
GIMLI: ,"Oh! , That�s 
    it, right, we warned you! Prepare to be boarded! ,
 ",The Return of the King Movie Script
MERCENARY:,"Boarded, by you and whose army? ,
 ",The Return of the King Movie Script
EOWYN/MERRY:,"
    DEATH! ,
 ",The Return of the King Movie Script
THEODEN: ,"
    Forth Eorlingas! ,
 ",The Return of the King Movie Script
GOTHMOG:,"
    FIRE! ",The Return of the King Movie Script
MERRY:  ,"
    DEEEEAAATH!,
 ",The Return of the King Movie Script
THEODEN:,"
    CHAAAAARGE! ,
 ",The Return of the King Movie Script
GOTHMOG:,"
    Fire at will! ,
 ",The Return of the King Movie Script
DENETHOR:,"
    Set a fire in our flesh! ,
 ",The Return of the King Movie Script
GANDALF:,"
    Stay this madness! ,
 ",The Return of the King Movie Script
DENETHOR: ,"
    You may triumph in the field of battle for a day, but against the power that 
    has risen in the east, there is no victory! ,
 ",The Return of the King Movie Script
DENETHOR:,"
    NOOOOOO, you will not take my son from me! ,
 ",The Return of the King Movie Script
PIPPIN:,"
    NO! Aaahhh,
 ",The Return of the King Movie Script
DENETHOR:,"
    Faramir! ,
 ",The Return of the King Movie Script
DENETHOR:,"
    Aaaaaahhhh! ,
 ",The Return of the King Movie Script
GANDALF: ,"
    So passes Denethor, son of Ecthelion. ,
 ",The Return of the King Movie Script
"
MOUTH OF SAURON: ","
 And who is this?  Isildur�s heir?  It takes more to make a King than a broken Elvish blade. ,
     ",The Return of the King Movie Script
"
GIMLI:","
  I guess that concludes negotiations. ,
     ",The Return of the King Movie Script
"
ARAGORN:","
     I do not believe it.  I will not.,
     ",The Return of the King Movie Script
ARAGORN:,"This army. ,
 ",The Return of the King Movie Script
GOLLUM: ,"In there. ,
 ",The Return of the King Movie Script
FRODO: ," What is this place? ,
 ",The Return of the King Movie Script
GOLLUM:,"Master must go inside the tunnel. ,
 ",The Return of the King Movie Script
FRODO:,"Now that I�m here I don�t think I want to. ,
 ",The Return of the King Movie Script
GOLLUM: ,"It�s the only way. Go in� or go back. ,
 ",The Return of the King Movie Script
FRODO:,"I can�t go back. ,
 ",The Return of the King Movie Script
FRODO:,"What�s that smell.,
 ",The Return of the King Movie Script
GOLLUM:,"Orcses� filth. Orcses come in here sometimes. ,
 ",The Return of the King Movie Script
GOLLUM:,"Hurry! This way.,
 ",The Return of the King Movie Script
FRODO:,"Smeagol? ,
 ",The Return of the King Movie Script
GOLLUM:,"Over here. ,
 ",The Return of the King Movie Script
FRODO:,"Ah aah! Its sticky, what is it? ,
 ",The Return of the King Movie Script
GOLLUM:," You�ll see. Oh yes, you 
    will see.,
 ",The Return of the King Movie Script
EOMER: ,"
  Drive them to the river. , 
    ",The Return of the King Movie Script
