char,dialog
CHILDREN HOBBITS:,"Gandalf! Gandalf!


  


    ,
 "
CHILDREN HOBBITS:,"Fireworks Gandalf! Gandalf! Fireworks Gandalf!


  


    ,
 "
CHILDREN HOBBITS:,"Hooooraaaay! ,


  


    ,
 "
FRODO:,"Gandalf, I�m glad you�re back. ,
 "
GANDALF:,"So am I dear boy. , So am I.,
 "
"BILBO:


  


    "," No thank 
    you! We don�t want any more visitors, well wishers or distant relations!
    ,
 "
GANDALF:,"And what about very old friends?


  


    ,
 "
PIPPIN:,"Not too happy at all, Merry.,
       
    "
MERRY:,"Still, I suppose the view would be quite nice from up there.,
       
    "
PIPPIN:,"Oh, yes. It's a quality establishment. I hear the staff are very good.,
       
    "
PIPPIN:,"What are you doing?,
       
    "
MERRY:,"Nothing. The world's back to normal, that's all.,
       
    "
PIPPIN:,"No, it isn't. I'm starving.,
       
    "
MERRY:,"Good luck trying to find something decent around here. ,Probably only dead rats and
      mouldy bread., 
    "
MERRY:,"Saruman's storeroom!,
       
    "
PIPPIN:,"I don't believe it.,
       
    "
MERRY:,"It can't be.,
       
    "
PIPPIN:,"lt is!,
       
    "
MERRY:,"Longbottom Leaf. ,The finest pipe-weed in South Farthing.,
       
    "
PIPPIN:,"It's perfect. One barrel each.,Wait.
      Do you think we should share it with Treebeard?,
       
    "
SOLDIER:,"Watch out!,
       
    "
SAM:,"Mr. Frodo?,
       
    "
FRODO:,"They're here.,
       
    "
FRODO:,"They've come.,
       
    "
FARAMIR:,"Nazgul! ,
        
    "
FARAMIR:,"Stay here. Keep out of sight. ,Take cover!,
       
    "
THEODEN:,"The fortress is taken. It is over., 
    "
ARAGORN:,"You said this fortress would never fall while your men defend it.
      They still defend it. They have died defending it.,
       
    "
WOMAN:,"They are breaking in!,
       
    "
WOMAN:,"They're past the door!,
       
    "
ARAGORN:,"Is there no other way for the women
      and children to get out of the caves? ,
    "
ARAGORN:,"Is there no other way?,
       
    "
GAMLING:,"There is one passage. It leads into the mountains. But they will not get far.
      The Uruk-hai are too many.,
       
    "
THEODEN:,"Aragorn! Fall back to the Keep! Get your men out of there!, 
    "
ARAGORN:,"Nan Barad! Nan Barad! , Haldir, nan Barad! ("
GIMLI:,"What are you doing? What are you stopping for?,
       "
HALDIR:,"Nan Barad! (To the Keep!),
       "
ARAGORN:,"Haldir!,
       "
SOLDIER:,"Brace the gate!,
       "
BILBO:,"Gandalf?


  


    ,
 "
GANDALF:,"Bilbo Baggins. ,
 "
BILBO:,"My dear Gandalf! ,
 "
GANDALF:,"It�s good to see you. One hundred and eleven years old 
    who would believe it. , 
    You haven�t aged a day! ,
 "
BILBO:,"Come on, come in! Welcome, welcome. Oh, here we are.


  


    ,
 "
BILBO:,"Tea or maybe something a little stronger? I�ve got a 
    few bottles of the Old Winyard left, 1296, a very good year, almost as old 
    as I am.,
 "
BILBO:,"It was laid down by my father, what say we open one eh?


  


    ,
 "
GANDALF:,"Just tea, thank you.


  


    ,
 "
GANDALF:,"Owwwh! ,
 "
BILBO:,"I was expecting you sometime last week. Not that it 
    matters; you come and go as you please. Always have done and always will.,
 "
"BILBO:


  


    ","You�ve caught me a bit unprepared I�m afraid urm we�ve 
    only got cold chicken and a bit of pickle oh and there�s some cheese here, 
    oh no that wont do! Urm we�ve got raspberry jam, an apple tart
    , 
    but we�ve not much for afters. Oh no we�re all right, I�ve found some sponge 
    cake! , I can make 
    you some eggs if you � oh�. Gandalf? ,


  


    ,
 "
GANDALF:,"Just tea, thank you.


  


    ,
 "
"BILBO:


  


    ","Oh right. , 
    You don�t mind if I do, do you? ,
 "
GANDALF:,"Oh not at all!


  


    ,
 "
VOICE:,"Bilbo! Bilbo Baggins!,
 "
MERRY:,"Share it? ,No. No. ,Dead plant and all that. Don't think he'd understand. ,Could be a distant relative.,
       
    "
PIPPIN:,"I get it. Don't be hasty.
      ,
    "
MERRY:," Exactly.
      , Bar-hrum. ,
    "
FARAMIR:,"This is the old sewer. Runs right under the river through to the edge of the city.
      You'll find cover in the woods there. ,
    "
SAM:,"Captain Faramir......you have shown your quality, sir.,
       
    "
SAM:,"The very highest.,
       
    "
FARAMIR:,"The Shire must truly be a great realm,
      Master Gamgee......where gardeners are held in high honor.,
       
    "
FARAMIR:,"What road will you take once you reach the woods?,
       
    "
FRODO:,"Gollum says there's a path......near Minas Morgul that climbs up into the mountains., 
    "
FARAMIR:,"Cirith Ungol?, 
    "
FARAMIR:,"ls that its name?,
       
    "
GOLLUM:,"No. ,No! , Yes.,
       
    "
FARAMIR:,"Frodo......they say a dark terror dwells in the passes above Minas
      Morgul. You cannot go that way.,
       
    "
GOLLUM:,"lt is the only way. Master says we must go to Mordor, so we must try.,
       
    "
FRODO: ,"I must.,
       
    "
ARAGORN:," Tell the women and children
      to make for the mountain pass. And barricade the entrance!,
       
    "
THEODEN:,"So much death. ,  What can Men do against such reckless hate?,
       
    "
ARAGORN:,"Ride out with me. ,Ride out and meet them., 
    "
THEODEN:,"For death and glory.,
       
    "
ARAGORN:,"For Rohan. For your people.,
       
    "
GIMLI:,"The sun is rising.,
       
    "
GANDALF VOICEOVER:,"Look to my coming at first light on the fifth day. At dawn......Iook to the east.,
       
    "
THEODEN:,"Yes.........Yes.........The horn of Helm Hammerhand......shall sound in the Deep......one last time.,
       
    "
GIMLI:,"Yes!, 
    "
THEODEN:,"Let this be the hour
      when we draw swords together. , 
    "
THEODEN:,"Fell deeds, awake. Now for wrath......now for ruin and a red dawn., 
    "
SOLDIER: ,"Hold them!,
       "
THEODEN:,"To the gate. Draw your swords!,
       "
GAMLING:,"Make way! ( ,We cannot hold much longer!,
       "
THEODEN:,"Hold them!,
       "
ARAGORN:,"How long do you need?,
       "
THEODEN:,"As long as you can give me.,
       "
ARAGORN:,"Gimli!,
       "
THEODEN: ,"Timbers! Brace the gate!,
       "
GIMLI:,"Come on. We can take them. ,
       "
ARAGORN:,"It's a long way.,
       "
GIMLI:,"Toss me.,
       "
ARAGORN:,"What?,
       "
GIMLI:,"I cannot jump the distance! You'll have to toss me!,
       "
GIMLI:," Don't tell the Elf.,
       "
ARAGORN:,Not a word. 
THEODEN:,"Shore up the door!,
       "
BILBO:," I�m not at 
    home! , It�s the Sackville-Bagginses.,
 "
VOICE:,"I know you�re in there!


  


    ,
 "
BILBO:,"They�re after the house! , They�ve never forgiven me for living this 
    long. I�ve got to get away from these confounded relatives hanging on the 
    bell all day, never giving me a moment�s peace. , I want to see 
    mountains again, mountains Gandalf. , And 
    then find somewhere quiet where I can finish my book. Oh, tea!
    ,
 "
GANDALF:,"So you mean to go through with your plan then?


  


    ,
 "
BILBO:,"Yes, yes, it�s all in hand. All the arrangements are 
    made. , Oh, thank you.


  


    ,
 "
"GANDALF:


  


    ","Frodo suspects something.


  


    ,
 "
BILBO:,"Of course he does, he�s a Baggins, not some blockheaded 
    Bracegirdle from Hardbottle. ,


  


    ,
 "
GANDALF:,"You will tell him wont you?,
 "
BILBO:,"Yes, yes.,
 "
GANDALF:,"He�s very fond of you.,
 "
BILBO:,"I know, he�d probably come with me if I asked him to. I 
    think in his heart Frodo�s still in love with the Shire, the woods, the 
    fields and the little rivers. I am old Gandalf. I know I don�t look it, but 
    I�m beginning to feel it in my heart. , I feel 
    thin, sort of stretched like butter scraped over too much bread. I need a 
    holiday, a very long holiday. And I don�t expect that I shall return. In 
    fact, I mean not to.


  


    ,
 "
BILBO:,"Old Toby, the finest weed in the Southfarthing.,
 "
BILBO:,"Gandalf my old friend, this will be a night to 
    remember.


  


    ,
 "
FARAMIR:," Go, Frodo. Go with the goodwill of all Men., 
    "
FRODO:,"Thank you.,
       
    "
FARAMIR:,"May death find you quickly if you bring them to harm.,
       
    "
SAM:,"Come on, keep up.,
       
    "
SAM:,"Mr. Frodo didn't mean for them Rangers to hurt you. You know that, don't you?
      He was trying to save you, see?,
       
    "
GOLLUM:,"Save me?,
       
    "
SAM: ,"So there's no hard feelings. Forgive and forget.,
       
    "
GOLLUM:,"No, no, no hard feelings. Gollum, Gollum. ,Yes, master. Nice Hobbits.,
       
    "
SAM:,"Very decent of you. Very decent, indeed,
      Gollum.
    "
THEODEN:,"Forth Eorlingas!, 
    "
ARAGORN:,"Gandalf.,
       
    "
GANDALF:," Theoden King stands alone., 
       
    "
EOMER:,"Not alone. , Rohirrim!,
       
    "
THEODEN:,"Eomer., 
    "
EOMER:,"To the king!,
       
    "
PIPPIN:,"Yes!,
       
    "
TREEBEARD:,"A hit. A fine hit.,
       
    "
TREEBEARD:,"Break the dam!  Release the river!,
       
    "
MERRY:,"Pippin! Hold on!,
       
    "
TREEBEARD:,"Hold on, little Hobbits.,
       
    "
SAM:,"What are you doing? ,
       
    "
GIMLI:,"You could have picked a better spot., 
    "
GIMLI:,"Well, lad, whatever luck you live by, let's hope it lasts the night.,
       "
LEGOLAS:,"Your friends are with you, Aragorn.,
       "
GIMLI:,"Let's hope they last the night.,
       "
ARAGORN:," A
      Eruch�n, �-dano i faelas a hyn an uben tanatha le faelas! , 
    "
GIMLI:,"What's happening out there?,
       "
LEGOLAS:,"Shall I describe it to you? Or would you like me to find you a box? ,
       "
SOLDIER:,"Make way!,
       "
SOLDIER:,"Follow me to the barricade.,
       "
SOLDIER:,"Watch our backs!,
       "
SOLDIER: ,"Throw another one over here!,
    "
THEODEN: ,"Higher!,
       "
SOLDIER:,"Hold fast the gate!,
       "
THEODEN:," Gimli! Aragorn! Get out of there! ,
        "
LEGOLAS:,"Aragorn!,
       "
THEODEN:,"Pull everybody back. Pull them back.,
       "
GAMLING:,"Fall back! Fall back!,
       "
THEODEN:,"They have broken through! The castle is breached. Retreat!,
       "
GAMLING:,"Fall back!,
       "
THEODEN:,"Retreat! ,
       "
ARAGORN:,"Hurry! Inside. Get them inside!,
       "
GAMLING:,"Into the Keep!,
       "
TREEBEARD:,"I will leave you at the western borders of the forest. You can make your way north
      to your homeland from there.,
       "
SAM:,"Where are you going?,
       
    "
SAM:,"It's me. It's your Sam. Don't you know your Sam?,
       
    "
FRODO:,"I can't do this, Sam.,
       
    "
SAM:,"I know. It's all wrong.
      ,By rights, we shouldn't even be here.
      But we are. It's like in the great stories, Mr. Frodo. The ones that really mattered.
      ,Full of darkness and danger they were.
      And sometimes you didn't want to know the end.....because how could the end be happy? 
      How could the world go back,
      to the way it was...... when so much bad had happened?,
       
    "
THEODEN:,"Victory! We have victory!,
       
    "
SAM VOICEOVER:,"But in the end, it's only a passing thing...... this shadow. Even darkness must pass.
      A new day will come. And when the sun shines, it will shine out the clearer.
      Those were the stories,
      that stayed with you......that meant something. Even if you were too small
      to understand why. But I think, Mr. Frodo, I do understand. I know now.,
       
    "
SAM:,"Folk in those stories......had lots of chances of turning back, only they didn't.
      They kept going......because they were holding on to something.,
    "
FRODO:,"What are we holding on to, Sam?,
       
    "
SAM:,"That there's some good in this world, Mr. Frodo. And it's worth fighting for.,
       
    "
FARAMIR:,"I think at last we understand one another, Frodo Baggins. , 
    "
MADRIL:,"You know the laws of our country, the laws of your father. If you let them go,
      your life will be forfeit.,
       
    "
FARAMIR:,"Then it is forfeit. Release them., 
    "
THEODEN: ,"So it begins.,
       "
ARAGORN:,Tangado a chadad! 
LEGOLAS:," Faeg i-varv d�n na lanc a
      nu ranc. "
ARAGORN:,Leithio i philinn! 
GIMLI:,"Did they hit anything?, 
    "
THEODEN:,"Give them a volley.,
       "
GAMLING:,"Fire!,
       "
OLD MAN:,"Fire!,
       "
ARAGORN:,Ribed bant! 
GIMLI:,"Send them to me! Come on!, 
    "
ARAGORN:,"Pendraith! , 
    "
GIMLI:,"Good!,
       "
ARAGORN:,Swords! Swords! 
GIMLI:,"Legolas! Two already!,
       "
PIPPIN:,"Wait! Stop! Stop! Turn around. Turn around. Take us south.,
       "
TREEBEARD:,"South? But that will lead you past lsengard.,
       "
PIPPIN:,"Yes. Exactly.,If we go south, we can slip
      past Saruman unnoticed. The closer we are to danger, the farther we are from harm.
      It's the last thing he'll expect.,
       "
TREEBEARD:,"That doesn't make sense to me.
      But then......you are very small. ,Perhaps you're right. South it is, then.
      Hold on, little Shirelings. ,I always like going south. Somehow it feels like going downhill., 
    "
MERRY:," Are you mad? We'll be caught.,
       "
PIPPIN:,"No, we won't. Not this time.,
       "
SOLDIER:,"Look! Osgiliath burns!,
       "
SOLDIER:,"Mordor has come.,
       "
FRODO:,"The Ring will not save Gondor.
      , It has only the power to destroy.
      Please......Iet me go. ,
       "
FARAMIR:,"Hurry.,
       "
FRODO:,"Faramir! You must let me go!,
       "
TREEBEARD:,"And those little family of field mice......that climb up sometimes, and they tickle me awfully. ,
       "
TREEBEARD:,"They're always trying to get somewhere where they....,
       "
TREEBEARD:,"Many of these trees were my friends. Creatures I had known from nut and acorn.,
       "
PIPPIN:,"I'm sorry, Treebeard.,
       "
