char,dialog
"STRIDER:, You have a 
    stout heart little hobbit! But that will not save you.  You can no 
    longer wait for the wizard Frodo. They're coming,
 "," You have a 
    stout heart little hobbit! But that will not save you.  You can no 
    longer wait for the wizard Frodo. They're coming,
 "
"FRODO:,What are they ?,
 ","What are they ?,
 "
"STRIDER:,They were once men. Great Kings of Men.  The Sauron 
    the Deciever  gave to them nine rings of power. Blinded by their greed 
    they took them without question. One by one falling into darkness
    ,Now they are slaves to his will. They are 
    the Nazg�l. Ringwraiths.  Neither living nor dead. At all times they 
    feel the presence of the Ring , Drawn to the power of the One
    , They 
    will never stop hunting you.,
 ","They were once men. Great Kings of Men.  The Sauron 
    the Deciever  gave to them nine rings of power. Blinded by their greed 
    they took them without question. One by one falling into darkness
    ,Now they are slaves to his will. They are 
    the Nazg�l. Ringwraiths.  Neither living nor dead. At all times they 
    feel the presence of the Ring , Drawn to the power of the One
    , They 
    will never stop hunting you.,
 "
"FRODO:,Where are you taking us ?,
 ","Where are you taking us ?,
 "
"STRIDER:,Into the wild,
 ","Into the wild,
 "
"MERRY:, How do we know this Strider is a friend of Gandalf ? ,
 "," How do we know this Strider is a friend of Gandalf ? ,
 "
"FRODO:,I think a servant of the enemy would look fairer, but feel 
    fouler.,
 ","I think a servant of the enemy would look fairer, but feel 
    fouler.,
 "
"MERRY:,He's foul enough ,
 ","He's foul enough ,
 "
"FRODO:,We have no choice but to trust him,
 ","We have no choice but to trust him,
 "
"SAM:, But where 
    is he leading us ?,
 "," But where 
    is he leading us ?,
 "
BILBO:,"Mrs Bracegirdle, how nice to see you.  Welcome welcome.  
    Are all these children yours ?,
 "
MRS BRACEGIRDLE:,"Yeah,
 "
BILBO:,"Good gracious you have been productive!,
 "
BILBO:," 
    Sackville-Bagginses! , 
    Quickly! Hide!,
 "
BILBO:,"Oh! Thankyou my boy You're a good lad Frodo. I'm very 
    selfish you know. , Yes, 
    I am.  Very selfish. I don't know why I took you in after your mother 
    and father died, but it wasn't out of charity. I think it was because, of 
    all my numerous relations, you were the one Baggins that showed real spirit.
    ,
 "
FRODO:,"Bilbo have you been at the Gaffers homebrew ?,
 "
BILBO:,"No. Well yes, b b b but thats not the point. The point is, 
    Frodo, , You'll be 
    alright. ,
 "
PIPPIN:,"Done!,
 "
MERRY:,"You're supposed to stick it in the ground
    ,
 "
PIPPIN:,"It is in the ground ,
 "
MERRY:,"Outside ,
 "
PIPPIN:,"It was your idea!,
 "
FRODO:,"Bilbo! Bilbo!  Watch out for the dragon
    ,
 "
BILBO:,"
    Dragon! Nonsense, there hasn't been a dragon in these parts for a thousand 
    years. "
MERRY:,"That was good!,
 "
PIPPIN:,"Lets get another one!,
 "
GALADRIEL VOICE OVER:,"Three were given to the elves. ,Immortal, wisest and fairest of all beings.
    , Seven to the 
    dwarf lords, great miners and craftsmen of the mountain halls.
    ,And nine, nine rings were 
    gifted to the race of men. , Who above all else, desire power. ,
 "
GALADRIEL VOICE OVER:,"For within these rings was bound the strength and will 
    to govern each race. , 
    But they were all of them deceived. ,For another ring was made. , In the land of Mordor, ,in the fires of Mount Doom (, the dark Lord Sauron forged in 
    secret a master Ring ,to control all others and into this Ring he poured 
    all his cruelty, his malice , and his will to 
    dominate all life. , One Ring to rule them all. ,
 "
GALADRIEL VOICE OVER:,"One by one the free lands of Middle Earth fell to the 
    power of the Ring. But there were some who resisted. , A last 
    alliance of Elves and Men marched against the armies of Mordor. And on the 
    slopes of Mount Doom they fought for the freedom of Middle Earth. ,
 "
ELROND: ,"Tangado haid! ,
 "
ELROND:,"Leithio i philinn! ,
 "
GALADRIEL VOICE OVER:,"Victory was near. , But the 
    power of the Ring , could not be undone. ,
 "
GALADRIEL VOICE OVER:,"It was in this moment, ,that Isildur, son of the King, took up his father�s sword. ,
 "
GALADRIEL VOICE OVER:,"Sauron, the enemy of the Free Peoples of Middle Earth 
    was defeated. , The Ring passed to Isildur.
    , Who had this one chance to destroy evil 
    forever. , But the hearts of Men are easily corrupted.
    , 
    And the Ring of Power has a will of its own. ,
 "
GALADRIEL VOICE OVER:,"It betrayed Isildur ,to his death. ,And some things that should not have been forgotten were lost.
    ,History became legend, legend 
    became myth, , and for two and a half thousand years the Ring passed out of 
    all knowledge. , Until, when chance came
    , It 
    ensnared a new bearer. ,
 "
GOLLUM:,"My Precious! ,
 "
GALADRIEL VOICE OVER:,"The Ring came to the creature Gollum who took it deep 
    into the tunnels of the Misty Mountains. , And there it consumed him.,
 "
GOLLUM:,"It came to me, my own, my love, my own, my Precious.
    ,
 "
GALADRIEL VOICE OVER:,"The Ring brought to Gollum unnatural long life. For 
    five hundred years it poisoned his mind. And in the gloom of Gollum�s cave 
    it waited. , 
    Darkness crept back into the forests of the world. Rumour grew of a shadow 
    in the East, whispers of a nameless fear. , And 
    the Ring of Power perceived. , 
    Its time had now come. , It abandoned Gollum.
    , But something happened then 
    that the Ring did not intend, it was picked up by the most unlikely creature 
    imaginable. ,
 "
"STRIDER:,To Rivendell Master Gamgee.  To the House of Elrond.
    ,
 ","To Rivendell Master Gamgee.  To the House of Elrond.
    ,
 "
"SAM:,D'you hear that!  Rivendell! We're going to see the 
    elves!,
 ","D'you hear that!  Rivendell! We're going to see the 
    elves!,
 "
"STRIDER:,Gentlemen! We do not stop 'til nightfall,
 ","Gentlemen! We do not stop 'til nightfall,
 "
"PIPPIN:,What about breakfast ?,
 ","What about breakfast ?,
 "
"STRIDER:, You've 
    already had it,
 "," You've 
    already had it,
 "
"PIPPIN:,We've had one yes.  What about second breakfast ?,
 ","We've had one yes.  What about second breakfast ?,
 "
"MERRY:,Don't think he knows about second breakfast Pippin
    ,
 ","Don't think he knows about second breakfast Pippin
    ,
 "
"PIPPIN:,What about elvenses ? Luncheon, Afternoon Tea, Dinner ? 
    Supper!  He knows about them, doesnt he ?,
 ","What about elvenses ? Luncheon, Afternoon Tea, Dinner ? 
    Supper!  He knows about them, doesnt he ?,
 "
"MERRY:,I wouldn't count on it,
 ","I wouldn't count on it,
 "
"MERRY:,Pippin!,
 ","Pippin!,
 "
GANDALF:,"Sauron's wrath will be terrible, his retribution swift.,
       
    "
GANDALF:,"The battle for Helm's Deep is over. The battle for Middle-earth is about to begin.,
       
    "
GANDALF:,"(looking back out to Mordor) All our hopes now lie with two little Hobbits...,
       
    "
GANDALF VOICEOVER:,"...somewhere in the wilderness.,
       
    "
SAM:,"I wonder if we'll ever be put into songs or tales.,
    "
FRODO:,"What?,
       
    "
SAM:,"I wonder if people will ever say,,
      ""Let's hear about Frodo and the Ring."",
      And they'll say,,
      ""Yes! That's one of my favourite stories."",
      ""Frodo was really courageous, wasn't he, Dad? "",
      ""Yes, my boy. ,The most famousest of Hobbits.
      And that's saying a lot."", 
    "
FRODO:,"Well, you've left out one of the chief characters:,
      ""Samwise the Brave."",
      I want to hear more about Sam.,
       
    "
FRODO:,"Frodo wouldn't have got far
      without Sam.,
       
    "
